Feature,Importance
"line1 x start, line1 y start",0.0
"line1 x start, line1 y end",0.017468737832835438
"line1 x end, line1 y start",0.0
"line1 x end, line1 y end",0.006369581902531492
"line2 x start, line2 y start",0.0
"line2 x start, line2 y end",0.0035663235129218974
"line2 x end, line2 y start",0.0
"line2 x end, line2 y end",0.0010799829941583845
"line3 x start, line3 y start",0.0
"line3 x start, line3 y end",0.0019658450217540915
"line3 x end, line3 y start",0.0
"line3 x end, line3 y end",0.0021527036340267874
"line4 x start, line4 y start",0.0
"line4 x start, line4 y end",0.0013938407725926955
"line4 x end, line4 y start",0.0
"line4 x end, line4 y end",0.0019138138094828968
"line5 x start, line5 y start",0.0
"line5 x start, line5 y end",0.00019408720110781596
"line5 x end, line5 y start",0.0
"line5 x end, line5 y end",0.001133450205120755
"line6 x start, line6 y start",0.0
"line6 x start, line6 y end",0.0018533834177035732
"line6 x end, line6 y start",0.0
"line6 x end, line6 y end",0.0027348276552154422
"line7 x start, line7 y start",0.0
"line7 x start, line7 y end",0.0015213787434626704
"line7 x end, line7 y start",0.0
"line7 x end, line7 y end",0.001327713146673273
"line8 x start, line8 y start",0.0
"line8 x start, line8 y end",0.0036668855878492844
"line8 x end, line8 y start",0.0
"line8 x end, line8 y end",0.0009080633090627365
"line9 x start, line9 y start",0.0
"line9 x start, line9 y end",0.0007296492623312531
"line9 x end, line9 y start",0.0
"line9 x end, line9 y end",0.0006591512203805319
"line10 x start, line10 y start",0.0
"line10 x start, line10 y end",0.0008484003541050343
"line10 x end, line10 y start",0.0
"line10 x end, line10 y end",0.0020647151359602196
"line11 x start, line11 y start",0.0
"line11 x start, line11 y end",0.0009583968184082875
"line11 x end, line11 y start",0.0
"line11 x end, line11 y end",0.0026827913175875855
"line12 x start, line12 y start",0.0
"line12 x start, line12 y end",0.002759000020417385
"line12 x end, line12 y start",0.0
"line12 x end, line12 y end",0.0055638116043683385
"line13 x start, line13 y start",0.0
"line13 x start, line13 y end",0.008504615137882764
"line13 x end, line13 y start",0.0
"line13 x end, line13 y end",0.0015595425627639454
"line14 x start, line14 y start",0.0
